year,cbsa_code,cbsa_title,total_population,median_age,median_household_income,per_capita_income,total_housing_units,owner_occupied_units,renter_occupied_units,homeownership_rate,median_home_value,median_gross_rent,rent_as_pct_of_income,population_yoy,income_yoy
2017,22580,"Forest City, NC Micro Area",66523,44.5,38573,21092,34181,18949,7548,71.51,109000,614,28.4,-0.27,6.72
2016,22580,"Forest City, NC Micro Area",66701,44.1,36144,19688,33908,19142,7348,72.26,107600,602,28.2,-0.25,1.44
2015,22580,"Forest City, NC Micro Area",66865,43.3,35630,19419,33860,18870,7556,71.41,106600,594,29.3,-0.47,-3.34
2014,22580,"Forest City, NC Micro Area",67181,42.9,36863,19686,33863,19315,7463,72.13,106500,604,29.3,-0.33,1.46
2013,22580,"Forest City, NC Micro Area",67403,42.6,36334,19551,33761,19442,7772,71.44,108600,587,29.8,-0.06,1.09
2012,22580,"Forest City, NC Micro Area",67446,42.1,35941,19543,33769,19871,7541,72.49,108700,572,28.3,0.27,-3.20
2011,22580,"Forest City, NC Micro Area",67262,41.9,37128,19550,33647,19783,7446,72.65,104400,549,29.1,0.50,4.99
2010,22580,"Forest City, NC Micro Area",66928,41.8,35364,18961,33338,19723,7735,71.83,101100,526,27.8,,
2023,22620,"Forrest City, AR Micro Area",22740,39.7,41784,22296,9583,4353,3528,55.23,87700,791,31.9,-1.72,4.93
2022,22620,"Forrest City, AR Micro Area",23138,38.8,39822,20991,9653,4395,3707,54.25,82400,748,30.7,-2.05,13.84
2021,22620,"Forrest City, AR Micro Area",23623,38.8,34981,19667,9741,4394,3752,53.94,68100,708,30.9,-7.28,-2.97
2020,22620,"Forrest City, AR Micro Area",25477,38.7,36053,19743,10969,5105,4208,54.82,65200,688,30.0,-1.63,1.99
2019,22620,"Forrest City, AR Micro Area",25900,38.8,35348,18447,10990,5139,4249,54.74,64600,633,31.3,-1.50,-0.02
2018,22620,"Forrest City, AR Micro Area",26294,38.9,35356,17491,10971,5321,3998,57.10,63300,612,30.7,-1.48,6.81
2017,22620,"Forrest City, AR Micro Area",26688,38.4,33102,16518,10989,5462,3863,58.57,61900,593,31.3,-1.24,-5.60
2016,22620,"Forrest City, AR Micro Area",27023,38.0,35066,16540,10898,5384,3924,57.84,62700,584,29.3,-1.18,9.22
2015,22620,"Forrest City, AR Micro Area",27345,37.5,32105,15971,10915,5247,4183,55.64,60800,576,29.6,-1.07,2.45
2014,22620,"Forrest City, AR Micro Area",27642,37.2,31336,16076,10915,5356,3995,57.28,65600,585,29.7,-0.97,1.50
2013,22620,"Forrest City, AR Micro Area",27914,37.0,30873,15511,10896,5174,4184,55.29,65600,599,31.0,-0.62,2.55
2012,22620,"Forrest City, AR Micro Area",28089,36.9,30104,15308,10931,5100,4077,55.57,67800,568,31.6,-0.38,14.20
2011,22620,"Forrest City, AR Micro Area",28195,36.9,26360,13834,10961,5007,4053,55.26,66400,548,34.3,-0.38,-2.44
2010,22620,"Forrest City, AR Micro Area",28302,36.8,27019,13693,11053,5337,3749,58.74,66100,544,34.3,,
2023,22660,"Fort Collins-Loveland, CO Metro Area",363561,36.6,91364,49323,161882,97491,54080,64.32,532200,1677,32.4,1.17,4.78
2022,22660,"Fort Collins, CO Metro Area",359363,36.3,87199,46676,159083,96055,52796,64.53,488300,1584,31.9,1.32,8.10
2021,22660,"Fort Collins, CO Metro Area",354670,36.3,80664,42596,156030,95108,50067,65.51,420200,1433,32.5,1.18,5.63
2020,22660,"Fort Collins, CO Metro Area",350523,36.2,76366,38142,144583,88959,45226,66.30,390600,1340,32.4,1.66,6.24
2019,22660,"Fort Collins, CO Metro Area",344786,36.0,71881,37363,148229,89118,47903,65.04,363800,1297,33.4,1.96,6.23
2018,22660,"Fort Collins, CO Metro Area",338161,35.9,67664,35390,145672,86247,47280,64.59,336200,1228,33.6,2.17,4.13
2017,22660,"Fort Collins, CO Metro Area",330976,35.7,64980,34087,142642,84626,45876,64.85,306600,1140,34.1,1.77,4.90
2016,22660,"Fort Collins, CO Metro Area",325228,35.6,61942,32433,138763,81681,45386,64.28,282500,1077,33.8,2.20,3.57
2015,22660,"Fort Collins, CO Metro Area",318227,35.5,59805,31304,136851,80264,44874,64.14,263400,1035,34.0,2.18,1.63
2014,22660,"Fort Collins, CO Metro Area",311435,35.5,58844,31082,135219,79788,42955,65.00,251600,1001,33.7,1.84,0.37
2013,22660,"Fort Collins, CO Metro Area",305798,35.5,58626,30740,133905,79646,41777,65.59,247100,973,33.8,1.64,1.21
2012,22660,"Fort Collins-Loveland, CO Metro Area",300870,35.4,57927,30684,132936,79839,40753,66.21,245200,934,33.5,1.61,1.24
2011,22660,"Fort Collins-Loveland, CO Metro Area",296107,35.1,57215,30276,131821,79621,39170,67.03,244600,887,33.8,1.70,1.36
2010,22660,"Fort Collins-Loveland, CO Metro Area",291162,35.0,56447,30046,130619,79218,38197,67.47,246000,849,33.4,,
2023,22700,"Fort Dodge, IA Micro Area",36848,39.8,68054,35172,17053,10962,4679,70.09,138500,762,25.4,-0.37,4.16
2022,22700,"Fort Dodge, IA Micro Area",36986,39.8,65335,33836,16981,10858,4724,69.68,130400,747,25.1,-0.34,14.76
2021,22700,"Fort Dodge, IA Micro Area",37114,39.2,56934,30461,16950,10656,5003,68.05,110900,696,25.7,2.11,9.68
2020,22700,"Fort Dodge, IA Micro Area",36348,39.3,51909,28116,17056,10662,4943,68.32,107900,667,25.5,-0.54,9.36
2019,22700,"Fort Dodge, IA Micro Area",36545,39.0,47466,26498,17022,10408,4898,68.00,99100,642,25.0,-0.58,7.24
2018,22700,"Fort Dodge, IA Micro Area",36757,39.1,44261,25243,17044,10260,4948,67.46,96600,627,26.0,-0.51,5.01
2017,22700,"Fort Dodge, IA Micro Area",36945,39.6,42148,24629,17031,10195,4872,67.66,95300,614,28.8,-0.28,-0.11
2016,22700,"Fort Dodge, IA Micro Area",37050,39.5,42196,23921,17003,10245,4828,67.97,90000,597,28.0,-0.66,-0.50
2015,22700,"Fort Dodge, IA Micro Area",37295,39.7,42408,23718,17006,10257,4898,67.68,85900,573,27.4,-0.28,0.70
2014,22700,"Fort Dodge, IA Micro Area",37399,39.9,42112,24213,17035,10396,5001,67.52,84600,561,27.1,-0.60,1.17
2013,22700,"Fort Dodge, IA Micro Area",37626,40.0,41624,24203,16995,10596,4862,68.55,84300,546,26.6,-0.71,-0.30
2012,22700,"Fort Dodge, IA Micro Area",37895,40.0,41751,24107,17039,10797,5011,68.30,84000,531,25.3,-0.55,0.13
2011,22700,"Fort Dodge, IA Micro Area",38105,40.1,41695,23718,17082,10693,5162,67.44,86000,530,25.0,-0.47,2.18
2010,22700,"Fort Dodge, IA Micro Area",38286,39.9,40806,22653,17097,10959,4977,68.77,85600,523,25.4,,
2023,22780,"Fort Leonard Wood, MO Micro Area",53850,27.5,66435,29250,19374,9763,6671,59.41,189700,1072,23.3,0.23,6.23
2022,22780,"Fort Leonard Wood, MO Micro Area",53726,27.7,62541,27098,19325,8954,6699,57.20,177400,1032,24.2,0.50,5.55
2021,22780,"Fort Leonard Wood, MO Micro Area",53460,28.1,59252,25957,19280,8210,7296,52.95,160000,1028,22.8,2.10,1.41
2020,22780,"Fort Leonard Wood, MO Micro Area",52359,27.8,58426,25098,19137,7877,7184,52.30,160700,1029,22.3,-0.13,9.22
2019,22780,"Fort Leonard Wood, MO Micro Area",52425,27.6,53492,23651,19094,7472,7682,49.31,159200,993,23.8,-0.32,3.54
2018,22780,"Fort Leonard Wood, MO Micro Area",52591,27.7,51665,22018,19058,7315,7711,48.68,151200,976,23.5,-1.02,1.03
2017,22780,"Fort Leonard Wood, MO Micro Area",53132,27.6,51137,21716,18911,7404,7971,48.16,141700,991,24.0,-0.32,3.90
2016,22780,"Fort Leonard Wood, MO Micro Area",53302,26.9,49216,20464,18561,7517,7781,49.14,141900,958,26.6,-0.26,2.68
2015,22780,"Fort Leonard Wood, MO Micro Area",53443,26.8,47931,19568,18382,7508,7927,48.64,129800,969,26.5,0.19,-3.37
2014,22780,"Fort Leonard Wood, MO Micro Area",53343,26.9,49604,20019,18204,8149,7379,52.48,126000,927,26.1,1.04,-0.43
2013,22780,"Fort Leonard Wood, MO Micro Area",52795,26.9,49820,20863,17973,8392,7355,53.29,121600,934,24.7,2.28,5.44
2012,22780,"Fort Leonard Wood, MO Micro Area",51620,26.6,47251,20312,17820,8531,7187,54.28,122000,912,24.5,2.31,0.71
2011,22780,"Fort Leonard Wood, MO Micro Area",50455,26.9,46919,20168,17754,8697,7011,55.37,122600,908,24.9,2.73,8.72
2010,22780,"Fort Leonard Wood, MO Micro Area",49114,26.6,43155,19800,17532,8661,6751,56.20,120200,823,26.0,,
2023,22800,"Fort Madison, IA Micro Area",33175,43.7,59803,32537,15808,10800,3505,75.50,123600,814,28.6,-42.52,2.07
2022,22800,"Fort Madison-Keokuk, IA-IL-MO Micro Area",57717,44.2,58590,32583,28062,18721,5335,77.82,114500,751,26.5,-0.70,7.32
2021,22800,"Fort Madison-Keokuk, IA-IL-MO Micro Area",58123,44.1,54594,29569,28150,18535,5265,77.88,99200,699,26.4,-0.73,4.06
2020,22800,"Fort Madison-Keokuk, IA-IL-MO Micro Area",58549,44.2,52463,28590,28986,18767,5746,76.56,95400,690,25.4,-0.75,3.49
2019,22800,"Fort Madison-Keokuk, IA-IL-MO Micro Area",58989,44.1,50694,27253,28976,18610,5689,76.59,91100,650,25.5,-0.78,2.00
2018,22800,"Fort Madison-Keokuk, IA-IL-MO Micro Area",59453,44.2,49699,26540,28990,18742,5797,76.38,90400,630,26.3,-0.67,1.40
2017,22800,"Fort Madison-Keokuk, IA-IL-MO Micro Area",59856,44.1,49011,25140,28995,18906,5728,76.75,87800,618,25.4,-1.33,5.30
2016,22800,"Fort Madison-Keokuk, IA-IL-MO Micro Area",60665,44.3,46543,24329,28866,18905,5976,75.98,86800,584,24.9,-0.59,4.02
2015,22800,"Fort Madison-Keokuk, IA-IL-MO Micro Area",61026,44.0,44745,23545,28895,19119,5988,76.15,84600,569,24.5,-0.55,1.50
2014,22800,"Fort Madison-Keokuk, IA-IL-MO Micro Area",61361,43.6,44083,23478,28918,19053,6108,75.72,84100,563,24.8,-0.58,3.73
2013,22800,"Fort Madison-Keokuk, IA-IL-MO Micro Area",61720,43.5,42496,22706,28942,18975,6116,75.62,81400,551,24.8,44.13,2.04
2012,22800,"Fort Madison-Keokuk, IA-MO Micro Area",42823,42.5,41647,21750,19734,12530,4471,73.70,80000,531,25.9,-0.37,-0.72
2011,22800,"Fort Madison-Keokuk, IA-MO Micro Area",42984,42.3,41951,21080,19740,12410,4476,73.49,77500,521,26.0,-0.41,0.74
2010,22800,"Fort Madison-Keokuk, IA-MO Micro Area",43160,42.0,41643,20957,19837,12678,4367,74.38,77000,497,27.1,,
2023,22820,"Fort Morgan, CO Micro Area",29186,36.9,75407,31867,11670,7183,3850,65.10,299300,1092,27.0,0.49,7.00
2022,22820,"Fort Morgan, CO Micro Area",29045,36.9,70471,30422,11566,7022,3850,64.59,277400,1038,28.7,0.61,12.01
2021,22820,"Fort Morgan, CO Micro Area",28868,36.1,62914,26919,11474,6771,3830,63.87,239800,949,28.3,0.88,7.60
2020,22820,"Fort Morgan, CO Micro Area",28617,36.2,58468,24800,11809,6836,4027,62.93,217200,902,28.4,0.35,8.92
2019,22820,"Fort Morgan, CO Micro Area",28517,36.2,53682,25064,11783,6999,3929,64.05,201200,835,28.4,0.92,3.98
2018,22820,"Fort Morgan, CO Micro Area",28257,36.3,51626,24189,11718,6935,3850,64.30,183900,775,27.8,0.48,0.33
2017,22820,"Fort Morgan, CO Micro Area",28123,36.6,51456,24077,11651,6809,3790,64.24,162900,780,25.9,-0.58,3.96
2016,22820,"Fort Morgan, CO Micro Area",28288,36.6,49495,23408,11474,6909,3584,65.84,152800,723,25.8,-0.25,2.16
2015,22820,"Fort Morgan, CO Micro Area",28359,36.4,48450,22101,11452,6747,3674,64.74,145500,726,26.5,0.06,4.82
2014,22820,"Fort Morgan, CO Micro Area",28342,36.5,46223,21297,11465,6593,3850,63.13,135000,736,26.7,0.12,5.59
2013,22820,"Fort Morgan, CO Micro Area",28308,36.0,43774,20680,11440,6631,3815,63.48,137000,695,27.3,0.38,2.21
2012,22820,"Fort Morgan, CO Micro Area",28200,36.0,42829,20276,11459,6724,3765,64.11,138900,675,26.8,0.92,0.09
2011,22820,"Fort Morgan, CO Micro Area",27943,36.2,42792,19753,11459,6664,3849,63.39,136700,677,27.3,0.11,-0.74
2010,22820,"Fort Morgan, CO Micro Area",27911,36.4,43111,20181,11434,7005,3402,67.31,136200,676,26.2,,
2023,22840,"Fort Payne, AL Micro Area",71946,39.6,51149,25274,30853,19916,6030,76.76,135500,683,26.9,0.37,6.74
2022,22840,"Fort Payne, AL Micro Area",71680,39.6,47920,24915,30716,18974,6716,73.86,129000,684,28.0,0.18,8.82
2021,22840,"Fort Payne, AL Micro Area",71554,39.7,44037,23947,30647,18805,6796,73.45,115100,646,27.9,0.17,4.19
2020,22840,"Fort Payne, AL Micro Area",71430,39.6,42267,22511,31424,19275,7090,73.11,113600,630,27.7,0.17,4.52
2019,22840,"Fort Payne, AL Micro Area",71310,39.5,40440,21907,31309,18627,7413,71.53,106100,628,26.6,0.15,3.08
2018,22840,"Fort Payne, AL Micro Area",71200,39.3,39233,21004,31462,18604,7528,71.19,102700,619,25.9,0.01,1.01
2017,22840,"Fort Payne, AL Micro Area",71194,39.0,38842,20020,31384,18155,7327,71.25,102900,579,24.3,0.36,1.55
2016,22840,"Fort Payne, AL Micro Area",70937,39.3,38248,18685,31068,17938,6873,72.30,99600,552,24.3,,
2012,22840,"Fort Payne, AL Micro Area",70949,37.9,36853,18494,30974,19618,5932,76.78,89400,517,26.4,0.48,0.00
2011,22840,"Fort Payne, AL Micro Area",70608,37.3,36853,18788,30942,20422,5774,77.96,87400,522,26.1,0.81,5.10
2010,22840,"Fort Payne, AL Micro Area",70038,37.0,35065,18152,30706,20103,5834,77.51,84400,514,25.9,,
2022,22860,"Fort Polk South, LA Micro Area",48452,31.5,56547,28797,21996,9809,7917,55.34,141900,1020,25.9,-1.25,6.26
2021,22860,"Fort Polk South, LA Micro Area",49064,30.7,53215,26214,21968,9570,7693,55.44,125600,965,25.4,-0.51,5.86
2020,22860,"Fort Polk South, LA Micro Area",49315,30.5,50267,25378,22307,9235,8281,52.72,126000,921,24.7,-0.67,2.29
2019,22860,"Fort Polk South, LA Micro Area",49646,30.4,49141,24554,22202,9383,8313,53.02,119300,951,26.0,-2.67,2.87
2018,22860,"Fort Polk South, LA Micro Area",51007,30.1,47772,23763,22123,9381,8420,52.70,118900,961,27.7,-1.73,2.47
2017,22860,"Fort Polk South, LA Micro Area",51906,30.1,46620,22583,22021,9399,8531,52.42,116600,952,28.6,-0.37,0.13
2016,22860,"Fort Polk South, LA Micro Area",52101,30.1,46561,22297,21719,9567,8222,53.78,107900,934,27.1,-0.71,0.54
2015,22860,"Fort Polk South, LA Micro Area",52476,30.0,46312,21578,21649,9547,8295,53.51,98000,913,26.4,-0.70,-1.18
2014,22860,"Fort Polk South, LA Micro Area",52844,29.9,46867,21609,21601,9913,8199,54.73,93400,908,25.8,0.64,0.63
2013,22860,"Fort Polk South, LA Micro Area",52510,29.8,46572,21396,21449,9924,8224,54.68,90800,869,24.4,1.88,0.67
2012,22860,"Fort Polk South, LA Micro Area",51542,30.0,46260,21548,21449,10064,8036,55.60,89300,836,23.8,1.65,2.14
2011,22860,"Fort Polk South, LA Micro Area",50706,29.9,45292,21081,21432,10153,7872,56.33,87600,801,23.6,0.51,6.43
2010,22860,"Fort Polk South, LA Micro Area",50451,29.8,42554,20191,21458,10158,7874,56.33,85400,743,24.4,,
2023,22900,"Fort Smith, AR-OK Metro Area",228916,38.7,56717,31368,100960,59653,30476,66.19,160100,841,25.9,-6.75,6.56
2022,22900,"Fort Smith, AR-OK Metro Area",245475,38.9,53224,29913,108312,63996,32262,66.48,146600,791,26.1,0.10,8.84
2021,22900,"Fort Smith, AR-OK Metro Area",245235,38.8,48903,27198,108011,63339,32337,66.20,125600,736,27.2,-2.01,5.34
2020,22900,"Fort Smith, AR-OK Metro Area",250260,38.9,46424,26005,111454,65056,33143,66.25,119500,701,27.1,0.19,3.74
2019,22900,"Fort Smith, AR-OK Metro Area",249777,38.7,44750,24285,110990,64201,33182,65.93,115000,690,27.1,-11.17,5.16
2018,22900,"Fort Smith, AR-OK Metro Area",281201,38.6,42553,23279,124497,72493,35621,67.05,110300,675,28.1,0.18,4.59
2017,22900,"Fort Smith, AR-OK Metro Area",280705,38.5,40686,22179,123932,72532,35405,67.20,107000,651,28.1,0.07,2.89
2016,22900,"Fort Smith, AR-OK Metro Area",280507,38.4,39543,21387,123083,72439,35326,67.22,104000,635,28.5,0.04,2.47
2015,22900,"Fort Smith, AR-OK Metro Area",280384,38.2,38589,21203,122588,72688,34256,67.97,103000,622,29.6,-0.00,-0.63
2014,22900,"Fort Smith, AR-OK Metro Area",280394,38.1,38833,21237,122052,72787,33904,68.22,101400,620,29.1,0.06,0.27
2013,22900,"Fort Smith, AR-OK Metro Area",280228,37.9,38730,20728,121243,73130,33568,68.54,100100,604,28.9,-5.83,0.20
2012,22900,"Fort Smith, AR-OK Metro Area",297576,37.8,38652,20241,128774,77704,35161,68.85,97500,587,29.3,0.32,-1.76
2011,22900,"Fort Smith, AR-OK Metro Area",296634,37.7,39344,20503,128055,77252,35318,68.63,95600,573,28.1,0.73,2.74
2010,22900,"Fort Smith, AR-OK Metro Area",294478,37.5,38295,19848,126889,77598,34576,69.18,92400,564,28.3,,
2012,22980,"Fort Valley, GA Micro Area",27531,33.9,41488,19034,11031,6273,3121,66.78,120000,633,32.8,0.67,0.38
2011,22980,"Fort Valley, GA Micro Area",27349,34.4,41333,18735,10929,6354,2834,69.16,118900,649,36.1,1.73,0.78
2010,22980,"Fort Valley, GA Micro Area",26883,34.3,41014,18681,10768,6218,2798,68.97,113900,628,33.7,,
2023,23060,"Fort Wayne, IN Metro Area",451440,36.8,69378,36444,191399,126410,53062,70.43,194000,963,27.2,7.56,3.92
2022,23060,"Fort Wayne, IN Metro Area",419715,36.5,66758,35481,177632,116762,48941,70.46,175100,922,27.0,0.92,7.62
2021,23060,"Fort Wayne, IN Metro Area",415887,36.5,62031,32207,176055,115193,48283,70.46,150600,839,26.7,1.58,7.52
2020,23060,"Fort Wayne, IN Metro Area",409419,36.5,57693,30123,174335,112193,48672,69.74,138200,788,26.7,0.77,4.25
2019,23060,"Fort Wayne, IN Metro Area",406305,36.4,55341,29383,172905,110557,48250,69.62,130700,771,27.4,-5.86,2.18
2018,23060,"Fort Wayne, IN Metro Area",431612,36.5,54158,28314,183470,117863,50059,70.19,124700,739,27.5,0.59,4.87
2017,23060,"Fort Wayne, IN Metro Area",429060,36.4,51642,26951,182364,116841,50268,69.92,120500,714,27.6,0.54,2.53
2016,23060,"Fort Wayne, IN Metro Area",426755,36.3,50369,26038,180664,116106,49437,70.14,117700,686,27.6,0.51,0.94
2015,23060,"Fort Wayne, IN Metro Area",424579,36.3,49901,25718,179965,116388,48131,70.74,116000,678,27.9,0.60,0.59
2014,23060,"Fort Wayne, IN Metro Area",422029,36.2,49607,25446,179369,116104,47323,71.04,114100,668,27.8,0.65,0.07
2013,23060,"Fort Wayne, IN Metro Area",419305,36.2,49573,25160,178601,115773,46437,71.37,113800,661,27.8,0.59,-1.02
2012,23060,"Fort Wayne, IN Metro Area",416851,36.0,50082,25056,178288,115740,45350,71.85,114300,649,27.1,0.54,0.55
2011,23060,"Fort Wayne, IN Metro Area",414593,35.9,49808,24816,177758,115528,44545,72.17,113700,640,26.7,0.61,1.93
2010,23060,"Fort Wayne, IN Metro Area",412067,35.8,48866,24449,177293,115300,44481,72.16,113800,624,26.4,,
2023,23140,"Frankfort, IN Micro Area",32967,36.5,63690,30108,13496,9144,3252,73.77,157300,915,25.6,-0.16,7.02
2022,23140,"Frankfort, IN Micro Area",33020,36.7,59515,28063,13481,9001,3381,72.69,140100,844,25.7,0.03,7.08
2021,23140,"Frankfort, IN Micro Area",33010,36.8,55582,25393,13418,8771,3375,72.21,126400,791,27.9,2.56,3.41
2020,23140,"Frankfort, IN Micro Area",32186,37.6,53750,24678,13376,8511,3633,70.08,119000,752,27.8,-0.27,-0.99
2019,23140,"Frankfort, IN Micro Area",32273,37.8,54286,24489,13342,8492,3541,70.57,111500,726,26.8,-0.09,3.43
2018,23140,"Frankfort, IN Micro Area",32301,38.2,52488,24276,13321,8601,3406,71.63,104000,707,26.4,-0.47,1.60
2017,23140,"Frankfort, IN Micro Area",32455,38.2,51659,23722,13301,8552,3409,71.50,103700,704,25.7,-0.72,3.12
2016,23140,"Frankfort, IN Micro Area",32692,38.6,50096,23260,13269,8517,3252,72.37,98700,688,24.8,-0.44,3.34
2015,23140,"Frankfort, IN Micro Area",32835,38.4,48478,22337,13253,8434,3209,72.44,98100,680,25.9,-0.46,-2.40
2014,23140,"Frankfort, IN Micro Area",32987,38.0,49669,22205,13308,8512,3341,71.81,96600,686,26.5,-0.30,1.46
2013,23140,"Frankfort, IN Micro Area",33086,37.9,48953,21554,13287,8470,3275,72.12,97300,682,27.5,-0.28,1.31
2012,23140,"Frankfort, IN Micro Area",33179,37.8,48321,21457,13333,8411,3278,71.96,97000,690,28.9,-0.15,-0.06
2011,23140,"Frankfort, IN Micro Area",33228,37.6,48352,21362,13356,8719,3246,72.87,99100,650,30.0,-0.13,-0.13
2010,23140,"Frankfort, IN Micro Area",33270,37.3,48416,21131,13395,8739,3167,73.40,98700,651,28.1,,
2023,23180,"Frankfort, KY Micro Area",75661,41.2,68277,38480,34278,21916,10128,68.39,204700,922,27.9,0.46,5.58
2022,23180,"Frankfort, KY Micro Area",75314,40.6,64669,36651,34038,21503,10230,67.76,188900,883,27.2,0.47,8.45
2021,23180,"Frankfort, KY Micro Area",74965,41.0,59631,33051,33844,21072,10238,67.30,160400,814,26.2,2.24,3.40
2020,23180,"Frankfort, KY Micro Area",73324,40.9,57673,30808,32755,19880,10155,66.19,152900,769,25.0,0.53,2.94
2019,23180,"Frankfort, KY Micro Area",72938,41.0,56024,29648,32662,19848,9922,66.67,144900,742,25.5,0.59,2.13
2018,23180,"Frankfort, KY Micro Area",72510,40.6,54855,28047,32625,19772,9730,67.02,142100,731,24.7,0.73,3.37
2017,23180,"Frankfort, KY Micro Area",71986,40.7,53068,27081,32539,19711,9688,67.05,139000,722,25.6,0.19,2.98
2016,23180,"Frankfort, KY Micro Area",71849,40.7,51534,26534,32487,19574,9958,66.28,138100,708,27.6,0.43,3.02
2015,23180,"Frankfort, KY Micro Area",71539,40.5,50025,26040,32474,19742,9737,66.97,137300,695,28.8,0.51,2.79
2014,23180,"Frankfort, KY Micro Area",71173,40.0,48665,25671,32405,19426,9992,66.03,137000,699,30.2,0.29,1.01
2013,23180,"Frankfort, KY Micro Area",70965,39.7,48179,25610,32314,19324,10057,65.77,137300,694,30.0,0.18,-1.40
2012,23180,"Frankfort, KY Micro Area",70841,39.3,48861,25906,32242,19437,9880,66.30,139300,670,28.1,0.47,0.14
2011,23180,"Frankfort, KY Micro Area",70513,38.8,48791,26169,32167,19803,9519,67.54,137900,634,27.9,0.52,-1.40
2010,23180,"Frankfort, KY Micro Area",70147,38.7,49486,26153,31945,19851,9346,67.99,136700,610,27.0,,
2023,23190,"Franklin, KY Micro Area",19786,39.0,57392,28786,8456,5097,2592,66.29,195700,1011,28.1,,
2023,23240,"Fredericksburg, TX Micro Area",27202,50.5,67799,43555,14255,8004,3268,71.01,432300,1331,29.8,0.92,-3.37
2022,23240,"Fredericksburg, TX Micro Area",26953,49.7,70162,42067,14107,7705,3330,69.82,399400,1275,30.7,0.83,8.88
2021,23240,"Fredericksburg, TX Micro Area",26730,49.6,64438,39012,13975,7906,3299,70.56,324700,1075,31.9,0.23,4.87
2020,23240,"Fredericksburg, TX Micro Area",26668,50.1,61445,34689,13218,7722,3098,71.37,311300,993,30.7,0.79,3.87
2019,23240,"Fredericksburg, TX Micro Area",26459,50.0,59155,34077,13184,7747,2947,72.44,286900,948,30.7,0.96,1.42
2018,23240,"Fredericksburg, TX Micro Area",26208,50.3,58325,33515,13081,7854,2863,73.29,276100,931,31.5,1.04,3.66
2017,23240,"Fredericksburg, TX Micro Area",25939,50.2,56267,32557,13023,8234,2561,76.28,269900,869,31.7,0.80,0.75
