year,zcta,total_population,median_age,median_household_income,per_capita_income,total_housing_units,owner_occupied_units,renter_occupied_units,homeownership_rate,median_home_value,median_gross_rent,rent_as_pct_of_income
2023,71765,2206,44.4,36318,33944,1224,905,98,90.23,46900,672,51.0
2023,71766,534,53.5,72500,31746,314,175,17,91.15,58900,625,10.0
2023,71770,3379,47.1,41307,25677,1869,1228,184,86.97,91600,768,19.6
2023,71772,21,31.8,96875,38619,9,9,0,100.00,98800,-666666666,-666666666.0
2023,71801,14907,39.0,47723,26630,6900,3506,1978,63.93,98200,775,30.1
2023,71820,57,65.2,64286,29874,33,24,0,100.00,162500,-666666666,-666666666.0
2023,71822,7830,42.8,49851,29160,3836,2482,697,78.07,120300,837,33.2
2023,71823,101,33.8,45313,22855,35,34,1,97.14,98300,-666666666,-666666666.0
2023,71825,392,37.0,70588,24656,162,109,19,85.16,134700,813,22.8
2023,71826,870,48.2,33750,25971,497,286,93,75.46,71600,525,28.9
2023,71827,819,54.2,58676,26288,426,265,55,82.81,49400,-666666666,-666666666.0
2023,71831,116,70.0,-666666666,27928,102,51,0,100.00,-666666666,-666666666,-666666666.0
2023,71832,10178,34.3,50497,23803,4012,2064,1603,56.29,106700,715,22.6
2023,71833,1830,50.1,31759,26997,1079,749,131,85.11,105600,612,36.7
2023,71834,1708,44.6,65424,27836,733,584,6,98.98,56000,-666666666,-666666666.0
2023,71835,1127,46.5,57132,36321,602,417,42,90.85,111900,575,24.2
2023,71836,3327,39.2,54192,27584,1622,1073,142,88.31,101900,588,18.6
2023,71837,4850,35.2,70216,27205,1941,1292,269,82.77,102300,1071,25.5
2023,71838,1244,55.7,39583,28731,814,540,55,90.76,102100,790,42.0
2023,71839,543,46.7,28906,20641,254,78,117,40.00,-666666666,476,16.4
2023,71841,655,44.7,36250,25485,537,245,27,90.07,53800,971,18.6
2023,71842,2018,43.0,56543,37409,929,581,143,80.25,159600,911,27.8
2023,71845,1722,50.9,24916,20639,1064,517,156,76.82,73400,744,17.6
2023,71846,2900,29.3,52411,24158,1278,805,210,79.31,113800,770,29.7
